segment,window_index,start,end,window_size,rmse_h25,rmse_h50,rmse_h75,rmse_h100
train,0,0,100,100,0.031974438577890396,0.02697848528623581,0.030102554708719254,0.03358600288629532
train,1,100,200,100,0.029718389734625816,0.03487240895628929,0.04028977453708649,0.05055132880806923
train,2,200,300,100,0.03666405379772186,0.03453729674220085,0.037801098078489304,0.0480203852057457
train,3,300,400,100,0.028483569622039795,0.02871137112379074,0.026289623230695724,0.025567546486854553
train,4,400,500,100,0.031147534027695656,0.04254211112856865,0.04888062924146652,0.06077207252383232
train,5,500,600,100,0.035375628620386124,0.030842822045087814,0.033403921872377396,0.039526235312223434
train,6,600,700,100,0.0407106950879097,0.034913115203380585,0.03940102830529213,0.04881087690591812
train,7,700,800,100,0.03493934124708176,0.03746549412608147,0.036568719893693924,0.041338518261909485
train,8,800,900,100,0.027509044855833054,0.02948749251663685,0.028330856934189796,0.038664836436510086
train,9,900,1000,100,0.03748944029211998,0.03320580720901489,0.041610609740018845,0.05051952600479126
val,0,0,100,100,0.04208541288971901,0.05395747348666191,0.06497249007225037,0.09063580632209778
val,1,100,200,100,0.032273124903440475,0.030217640101909637,0.030430061742663383,0.03757738694548607
val,2,200,300,100,0.06452246755361557,0.08171473443508148,0.10011682659387589,0.13250315189361572
val,3,300,400,100,0.0547204427421093,0.06115894019603729,0.08485230803489685,0.09866118431091309
val,4,400,500,100,0.04308899864554405,0.03726464882493019,0.033292729407548904,0.03453091159462929
val,5,500,600,100,0.030179623514413834,0.03655599057674408,0.03390328586101532,0.03615463152527809
val,6,600,700,100,0.03807870298624039,0.037949997931718826,0.049183040857315063,0.05546703189611435
val,7,700,800,100,0.0528523288667202,0.0811569094657898,0.12752096354961395,0.16028210520744324
val,8,800,900,100,0.04635736718773842,0.052986763417720795,0.05179087817668915,0.05162394791841507
val,9,900,1000,100,0.030422896146774292,0.026666805148124695,0.026252029463648796,0.03149875998497009
test,0,0,100,100,0.06426484882831573,0.0699547603726387,0.09119653701782227,0.11995820701122284
test,1,100,200,100,0.036158882081508636,0.043500758707523346,0.052911508828401566,0.05571509152650833
test,2,200,300,100,0.024903882294893265,0.026236072182655334,0.029596295207738876,0.027342582121491432
test,3,300,400,100,0.04879686236381531,0.05779462680220604,0.06502710282802582,0.08184119313955307
test,4,400,500,100,0.047360870987176895,0.04336032271385193,0.03996138647198677,0.0422469787299633
test,5,500,600,100,0.01828782819211483,0.01795083098113537,0.01838652230799198,0.02821381948888302
test,6,600,700,100,0.05991380661725998,0.061445605009794235,0.06039590388536453,0.07374083250761032
test,7,700,800,100,0.03411392122507095,0.02951938658952713,0.030328283086419106,0.038542646914720535
test,8,800,900,100,0.04394340142607689,0.05859128758311272,0.05476292967796326,0.053321074694395065
test,9,900,1000,100,0.11732850223779678,0.09955684095621109,0.10083632171154022,0.10886534303426743
