segment,window_index,start,end,window_size,rmse_h25,rmse_h50,rmse_h75,rmse_h100
train,0,0,100,100,0.006696006283164024,0.008176717907190323,0.012404492124915123,0.0148215526714921
train,1,100,200,100,0.00905688852071762,0.014191114343702793,0.02229827642440796,0.028622934594750404
train,2,200,300,100,0.0101206349208951,0.01275019720196724,0.01609073579311371,0.02201949432492256
train,3,300,400,100,0.003373386338353157,0.003465021960437298,0.0036126766353845596,0.0032625135499984026
train,4,400,500,100,0.009144722484052181,0.012105591595172882,0.01358861569315195,0.01485450193285942
train,5,500,600,100,0.013541952706873417,0.014584807679057121,0.015511158853769302,0.020259594544768333
train,6,600,700,100,0.0059812599793076515,0.005203104577958584,0.00529042212292552,0.004959344398230314
train,7,700,800,100,0.00952560268342495,0.012360963970422745,0.01138217095285654,0.012682991102337837
train,8,800,900,100,0.005100387614220381,0.005530745256692171,0.007022414822131395,0.008506531827151775
train,9,900,1000,100,0.0067627159878611565,0.010356641374528408,0.015153535641729832,0.020016254857182503
val,0,0,100,100,0.011434844695031643,0.016358597204089165,0.020418383181095123,0.026169804856181145
val,1,100,200,100,0.005051487125456333,0.004375392105430365,0.004339250270277262,0.004073839168995619
val,2,200,300,100,0.010484195314347744,0.012038461863994598,0.015316437929868698,0.020006947219371796
val,3,300,400,100,0.005911751184612513,0.006077256053686142,0.006759074050933123,0.007371325511485338
val,4,400,500,100,0.0061457809060812,0.005803739186376333,0.005442685913294554,0.005687849596142769
val,5,500,600,100,0.006781996227800846,0.008151892572641373,0.0075734821148216724,0.007496887817978859
val,6,600,700,100,0.007122362032532692,0.009276754222810268,0.01271725632250309,0.015673493966460228
val,7,700,800,100,0.013721810653805733,0.024883698672056198,0.039094336330890656,0.05095038190484047
val,8,800,900,100,0.006120038218796253,0.006383025553077459,0.006017560604959726,0.006901624612510204
val,9,900,1000,100,0.00691243028268218,0.00638771615922451,0.007689560763537884,0.009115485474467278
test,0,0,100,100,0.009416751563549042,0.010301221162080765,0.0132388761267066,0.016557790338993073
test,1,100,200,100,0.005218145437538624,0.005874669179320335,0.005904688034206629,0.006157721858471632
test,2,200,300,100,0.00629190681502223,0.007222562562674284,0.008262299001216888,0.007976609282195568
test,3,300,400,100,0.009137897752225399,0.012800713069736958,0.015722045674920082,0.021556658670306206
test,4,400,500,100,0.006494755391031504,0.006013723090291023,0.005469177849590778,0.0049174209125339985
test,5,500,600,100,0.005747108720242977,0.007379275746643543,0.008809222839772701,0.009830638766288757
test,6,600,700,100,0.008833978325128555,0.008363960310816765,0.00827020313590765,0.010300145484507084
test,7,700,800,100,0.008966540917754173,0.008669551461935043,0.009674682281911373,0.011762882582843304
test,8,800,900,100,0.013658951967954636,0.02072903886437416,0.019986378028988838,0.02301870472729206
test,9,900,1000,100,0.009166933596134186,0.007819448597729206,0.007906785234808922,0.00853180605918169
