segment,window_index,start,end,window_size,rmse_h25,rmse_h50,rmse_h75,rmse_h100
train,0,0,100,100,0.007662850897759199,0.006812682840973139,0.00592007813975215,0.0057459487579762936
train,1,100,200,100,0.00866895355284214,0.01133115217089653,0.016859717667102814,0.02040034905076027
train,2,200,300,100,0.01011275127530098,0.010173194110393524,0.011710826307535172,0.014442994259297848
train,3,300,400,100,0.008410228416323662,0.008525442332029343,0.009399686940014362,0.011317074298858643
train,4,400,500,100,0.009766248054802418,0.01330523006618023,0.015267066657543182,0.01683187298476696
train,5,500,600,100,0.012159380130469799,0.011791286990046501,0.012347625568509102,0.014617196284234524
train,6,600,700,100,0.008242112584412098,0.009201180189847946,0.010418417863547802,0.013827824965119362
train,7,700,800,100,0.007951030507683754,0.008855591528117657,0.008244438096880913,0.008969439193606377
train,8,800,900,100,0.005853658076375723,0.005914490669965744,0.007146621588617563,0.00778612494468689
train,9,900,1000,100,0.008337205275893211,0.012761639431118965,0.0170176662504673,0.022756779566407204
val,0,0,100,100,0.01319919154047966,0.02004416473209858,0.02478531189262867,0.033318519592285156
val,1,100,200,100,0.008111258037388325,0.007372526917606592,0.00635047722607851,0.006642729509621859
val,2,200,300,100,0.009954319335520267,0.009015214629471302,0.008233189582824707,0.008717683143913746
val,3,300,400,100,0.010200115852057934,0.010076935403048992,0.012381678447127342,0.014071369543671608
val,4,400,500,100,0.00708980904892087,0.00615164078772068,0.005753388628363609,0.005818046163767576
val,5,500,600,100,0.006002745125442743,0.007620431482791901,0.006946098990738392,0.0065382253378629684
val,6,600,700,100,0.009904907085001469,0.010346069000661373,0.012226587161421776,0.015382262878119946
val,7,700,800,100,0.013057444244623184,0.022684361785650253,0.034401971846818924,0.045698199421167374
val,8,800,900,100,0.006485368590801954,0.005811910144984722,0.005188398063182831,0.004942655563354492
val,9,900,1000,100,0.006234291009604931,0.006140140816569328,0.005328631028532982,0.005826660431921482
test,0,0,100,100,0.007407051045447588,0.008515318855643272,0.008568014949560165,0.009973829612135887
test,1,100,200,100,0.010494318790733814,0.01034628227353096,0.011705596931278706,0.01312069222331047
test,2,200,300,100,0.00667552137747407,0.005941502749919891,0.005724715068936348,0.005285494029521942
test,3,300,400,100,0.011906882748007774,0.015492016449570656,0.019572904333472252,0.02594422549009323
test,4,400,500,100,0.0101686492562294,0.012083366513252258,0.014625142328441143,0.017713049426674843
test,5,500,600,100,0.009678754024207592,0.013149716891348362,0.015209389850497246,0.016696929931640625
test,6,600,700,100,0.009914832189679146,0.008942777290940285,0.008545389398932457,0.009167687967419624
test,7,700,800,100,0.008931038901209831,0.009195205755531788,0.009985830634832382,0.012408412992954254
test,8,800,900,100,0.009896931238472462,0.013750647194683552,0.013150322251021862,0.014853555709123611
test,9,900,1000,100,0.01042492687702179,0.010152816772460938,0.011823276989161968,0.012895078398287296
